Hinglish_dialog_wo_disease,Overall_Summary
"Patient: Why am I seeing spots or clouds in vision? Am I going blind doctor?
Doctor: Mujhe aapki feelings samajh aa rahi hai. Chinta mat kijiye. Kya aapko kamzor nazar ho rahi hai?
Patient: Haan.
Doctor: Kya aapko aankho mein jalan ya tej bukhar mehsoos ho raha hai?
Patient: Meri aankhein frequently jalati hai.
Doctor: Kya aapko aankho mein khujli bhi ho rahi hai?
Patient: Haan.
Doctor: Aapko <MASK> hai.","The patient is concerned about seeing spots or clouds in the patient's vision and afraid of going blind. The doctor reassures the patient and asks about other symptoms like diminished vision, burning/stinging sensation in the eyes, and itchiness. Based on the patient's symptoms, the doctor diagnoses the patient with aphakia, which is a disease that falls under group 7."
"Patient: Doctor, mujhe banjhpan ka samasya hai. Iski wajah se mujhe bahut chinta ho rahi hai, kripya madad karein. 

Doctor: Mai samajh raha hu ki ye aapke liye pareshani ka vishay hai. Mai ise diagnose karunga. Ye <MASK> ke karan ho sakta hai.","In the conversation, the patient expresses her concern about struggling with infertility and seeks help from the doctor. The doctor acknowledges the patient's worries and suggests a diagnosis. The potential cause of infertility could be female infertility of unknown cause."
"Patient: Hello doctor, I am suffering from Abnormal appearing skin. You can see in many places my skin has become reddish. It is itching also. What could be its cause?
Doctor: Mujhe lagta hai, aapko <MASK> se pareshani ho sakti hai.",The patient complains of abnormal appearing skin with redness and itching. The doctor suggests it could be eczema. The disease is identified as eczema and belongs to group 12.
"Patient: Doctor, mujhe skin ki khujli ho rahi hai. Mujhe apni training miss nahi karni hai. Please meri madad kijiye.
Doctor: Main samajh sakta hoon ki skin rash kisi ko bhi ho sakta hai. Kya aap skin rash se pareshan hain?
Patient: Bikul, mujhe skin rash ho gaya hai.
Doctor: Kya aapki andkoshon mein sujan hai?
Patient: Haan, doctor.
Doctor: Kya aapko skin ki ghaav hai?
Patient: Zaroor, mujhe ho gayi hai.
Doctor: Aapke lakshan ke hisab se, aap <MASK> se pidit ho sakte hain.","The patient is suffering from itching of the skin and is worried about missing the patient's training. The doctor diagnoses the patient with Acariasis based on the patient's symptoms of skin rash, swelling of scrotum, and skin lesion."
"Patient: Doctor, mujhe Skin growth ho gayi hai. Iska karan kya ho sakta hai? 
Doctor: Theek hai. Mujhe batayein, kya aapko Abnormal appearing skin bhi hai? 
Patient: Sahi hai, doctor. Mere left face par Abnormal appearing skin hai. Is wajah se, mai bina chehre ko chhupaye bahar jane se sharminda hota hu. Kripaya meri madad karein. 
Doctor: Mujhe aapki chinta samajh mei aarahi hai. Aap dusre logo ki ray par pareshan honge. Iski wajah ka pata lagane ke liye, mujhe batayein, kya aapko Skin lesion hai? 
Patient: Haan, mere paas Skin lesion hai. 
Doctor: Theek hai, kya aap Skin dryness, peeling, scaliness, ya roughness se bhi pareshan hai? 
Patient: Mujhe confirm nahi hai, dekhiye $S11_1_26.jpg$. Kripya koi samadhan sujhaye. 
Doctor: Mujhe lagta hai yeh bahut zyada gambhir hai. Mai samajh raha hu ki aap dard se pareshan honge. Is masle ki jad tak pahuchne ke liye mai aur sawaal puchunga. Kripya mujhe batayein, kya aapko Skin swelling hai? 
Patient: Haan, mujhe Skin swelling hai. 
Doctor: Kya aapko bhi Itching of skin ho rahi hai? 
Patient: Sahi hai, mujhe Itching of skin se taklif hai. 
Doctor: Lagta hai aapko <MASK> hai.","The patient is concerned about skin growth and abnormal appearing skin on the patient's left face. The doctor inquires about the presence of skin lesions, dryness, peeling, scaliness, roughness, swelling, and itching. After considering the symptoms, the doctor suggests that the patient may be suffering from Actinic keratosis."
"Patient: Doctor, mujhe depressive ya psychotic symptoms ho rahe hain. Mujhe apni jaan khatam karne ka ehsaas hota hai, kya aap bata sakte hain iski wajah kya hai?
Doctor: Mujhe aapko aise baat karte hue sunke chupchap nahi baith sakte. Chaliye iski wajah ko samjhein. Kya aapko chakkar aate hain?
Patient: Mujhe frequently chakkar aate hain.
Doctor: Lagta hai aapko <MASK> se guzar raha hai.","The patient tells the doctor about the patient's depressive and psychotic symptoms, including suicidal thoughts, and asks for help in understanding the cause of these feelings. The doctor is alarmed by the patient's worsening condition and explores possible medical causes, including dizziness and a potential diagnosis of epidural hemorrhage. Overall, the conversation suggests that the patient is struggling with mental health issues and may require urgent medical attention."
"Patient: Hi Doctor, mujhe heavy menstrual flow kyun ho raha hai. Mujhe bahut uncomfortable feel hota hai, please help.
Doctor: Main samajh sakta hoon ki tum uncomfortable feel kar rahe ho. Main apna best karunga. That sounds bad, kya tumhe unpredictable menstruation hai?
Patient: Abhi kal se mujhe unpredictable menstruation ho raha hai.
Doctor: Tumhare symptoms ke basis par tumhe <MASK> hai.",The conversation is between a patient and a doctor about the patient's heavy menstrual flow and unpredictable menstruation. The doctor suspects that the patient may be suffering from endometrial hyperplasia based on her symptoms.
"Patient: Hi Doctor, mujhe bekar mein weight gain ho raha hai meri body mein. Meri shape khone ki wajah se mujhe pareshani ho rahi hai. Meri madad kijiye. 
Doctor: Mai samajh sakta hoon ki kitna mushkil ho sakta hai. Kya aapko Apnea ki samasya hai? 
Patient: Haan Doctor. 
Doctor: Aapko lagta hai aapko <MASK> hai.","The patient reports experiencing unnecessary weight gain that is affecting the patient's body shape. The doctor inquires about any associated symptoms and identifies the possibility of apnea. The doctor then notes the presence of Acanthosis nigricans, a disease often associated with obesity."
"Patient: Hi doctor, mujhe Foot or toe pain ho raha hai. Mujhe is dard se lad raha hai aur main ye soch raha tha ki kya is par kuch chinta wali baat hai. 
Doctor: I'm sorry to hear that you're going through this. Main iska pata lagane ki koshish karunga. Kya aapko aankh ki Symptoms hai? 
Patient: Yes, mujhe aankh ki Symptoms hai. 
Doctor: Kya aapke pass Skin growth hai? 
Patient: Pata nahi, dekhiye $S4_3_5.jpg$. 
Doctor: Aapke symptoms ishara karte hain ki aapko shayad <MASK> hai.","The patient is experiencing foot or toe pain and seeks medical advice from a doctor. The doctor attempts to diagnose the issue and asks about other symptoms like eye pain and skin growth. Based on the patient's conversation, the doctor suspects that the patient may have flat feet as the underlying condition causing the patient's foot pain."
"Patient: Hi doctor, Mere paas Kidney mass hai. Mere family physician mujhe dialysis karne ke liye samjhane ki koshish kar rahe hain. Kya isse pareshan hone ki koi baat hai? 
Doctor: Let me see, Kidney mass se kai tarah ke lakshan ho sakte hain, jaise ki frequent infections, weight loss, aur fatigue. Kya aapne haal hi mein chakkar mahsus kiye hain? 
Patient: Sach hai, maine chakkar mahsus kiye hain. 
Doctor: Theek hai, aapko ho sakta hai ki aapke pass <masked> hai.","The conversation is about a patient who has been diagnosed with kidney mass and is being advised by the patient's family physician to do dialysis. The doctor discusses the possible symptoms of kidney mass and asks the patient if the patient have felt dizziness recently. The doctor then informs the patient that the patient might have acute kidney injury, which falls under group 14 diseases."
